date,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue
2020-09-15,4.554,-4998.685,625.0,4998.685,0.0,7.998,2846.363,26.838,-4954.851,96.154,4954.851,0.0,51.53,2580.55
2020-09-16,4.592,-4998.685,625.0,4998.685,0.0,7.998,2869.935,27.042,-4954.851,96.154,4954.851,0.0,51.53,2600.214
2020-09-17,4.573,-4998.685,625.0,4998.685,0.0,7.998,2858.149,26.643,-4954.851,96.154,4954.851,0.0,51.53,2561.824
2020-09-18,4.545,-4998.685,625.0,4998.685,0.0,7.998,2840.47,26.429,-4954.851,96.154,4954.851,0.0,51.53,2541.224
2020-09-21,4.479,-4998.685,625.0,4998.685,0.0,7.998,2799.218,26.078,-4954.851,96.154,4954.851,0.0,51.53,2507.516
2020-09-22,4.403,-4998.685,625.0,4998.685,0.0,7.998,2752.074,25.484,-4954.851,96.154,4954.851,0.0,51.53,2450.399
2020-09-23,4.328,-4998.685,625.0,4998.685,0.0,7.998,2704.929,25.026,-4954.851,96.154,4954.851,0.0,51.53,2406.392
2020-09-24,4.394,-4998.685,625.0,4998.685,0.0,7.998,2746.18,25.445,-4954.851,96.154,4954.851,0.0,51.53,2446.654
2020-09-25,4.337,-4998.685,625.0,4998.685,0.0,7.998,2710.822,25.221,-4954.851,96.154,4954.851,0.0,51.53,2425.118
2020-09-28,4.403,-4998.685,625.0,4998.685,0.0,7.998,2752.074,25.329,-4954.851,96.154,4954.851,0.0,51.53,2435.448
2020-09-29,4.372,-4998.685,625.0,4998.685,0.0,7.998,2732.513,24.678,-4954.851,96.154,4954.851,0.0,51.53,2372.903
2020-09-30,4.372,-4998.685,625.0,4998.685,0.0,7.998,2732.513,25.181,-4954.851,96.154,4954.851,0.0,51.53,2421.233
2020-10-01,4.391,-4998.685,625.0,4998.685,0.0,7.998,2744.369,25.289,-4954.851,96.154,4954.851,0.0,51.53,2431.657
2020-10-02,4.363,-4998.685,625.0,4998.685,0.0,7.998,2726.586,25.476,-4954.851,96.154,4954.851,0.0,51.53,2449.662
2020-10-05,4.372,-4998.685,625.0,4998.685,0.0,7.998,2732.513,25.703,-4954.851,96.154,4954.851,0.0,51.53,2471.458
2020-10-06,4.344,-4998.685,625.0,4998.685,0.0,7.998,2714.731,25.506,-4954.851,96.154,4954.851,0.0,51.53,2452.505
2020-10-07,4.372,-4998.685,625.0,4998.685,0.0,7.998,2732.513,25.299,-4954.851,96.154,4954.851,0.0,51.53,2432.605
2020-10-08,4.4,-4998.685,625.0,4998.685,0.0,7.998,2750.295,25.654,-4954.851,96.154,4954.851,0.0,51.53,2466.72
2020-10-09,4.4,-4998.685,625.0,4998.685,0.0,7.998,2750.295,25.95,-4954.851,96.154,4954.851,0.0,51.53,2495.149
2020-10-12,4.334,-4998.685,625.0,4998.685,0.0,7.998,2708.803,25.427,-4954.851,96.154,4954.851,0.0,51.53,2444.924
2020-10-13,4.306,-4998.685,625.0,4998.685,0.0,7.998,2691.021,24.905,-4954.851,96.154,4954.851,0.0,51.53,2394.699
2020-10-14,4.239,-4998.685,625.0,4998.685,0.0,7.998,2649.53,25.299,-4954.851,96.154,4954.851,0.0,51.53,2432.605
2020-10-15,4.344,-4998.685,625.0,4998.685,0.0,7.998,2714.731,24.905,-4954.851,96.154,4954.851,0.0,51.53,2394.699
2020-10-16,4.391,-4998.685,625.0,4998.685,0.0,7.998,2744.369,25.161,-4954.851,96.154,4954.851,0.0,51.53,2419.338
2020-10-19,4.353,-4998.685,625.0,4998.685,0.0,7.998,2720.658,25.821,-4954.851,96.154,4954.851,0.0,51.53,2482.83
2020-10-20,4.429,-4998.685,625.0,4998.685,0.0,7.998,2768.077,26.541,-4954.851,96.154,4954.851,0.0,51.53,2552.008
2020-10-21,4.514,-4998.685,625.0,4998.685,0.0,7.998,2821.424,26.6,-4954.851,96.154,4954.851,0.0,51.53,2557.694
2020-10-22,4.514,-4998.685,625.0,4998.685,0.0,7.998,2821.424,25.851,-4954.851,96.154,4954.851,0.0,51.53,2485.673
2020-10-23,4.467,-4998.685,625.0,4998.685,0.0,7.998,2791.787,26.294,-4954.851,96.154,4954.851,0.0,51.53,2528.317
2020-10-26,4.429,-4998.685,625.0,4998.685,0.0,7.998,2768.077,26.551,-4954.851,96.154,4954.851,0.0,51.53,2552.956
2020-10-27,4.363,-4998.685,625.0,4998.685,0.0,7.998,2726.586,25.959,-4954.851,96.154,4954.851,0.0,51.53,2496.097
2020-10-28,4.249,-4998.685,625.0,4998.685,0.0,7.998,2655.458,24.688,-4954.851,96.154,4954.851,0.0,51.53,2373.851
2020-10-29,4.277,-4998.685,625.0,4998.685,0.0,7.998,2673.24,24.412,-4954.851,96.154,4954.851,0.0,51.53,2347.317
2020-10-30,4.331,-4998.685,625.0,4998.685,0.0,7.998,2706.625,25.122,-4954.851,96.154,4954.851,0.0,51.53,2415.547
2020-11-02,4.397,-4998.685,625.0,4998.685,0.0,7.998,2748.357,25.358,-4954.851,96.154,4954.851,0.0,51.53,2438.29
