date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue
2021-02-05,39.18,-4995.62,42.017,4995.62,0.0,118.896,1646.219
2021-02-08,39.79,-4995.62,42.017,4995.62,0.0,118.896,1671.849
2021-02-09,40.19,-4995.62,42.017,4995.62,0.0,118.896,1688.655
2021-02-10,40.39,-4995.62,42.017,4995.62,0.0,118.896,1697.059
2021-02-11,40.5,-4995.62,42.017,4995.62,0.0,118.896,1701.681
2021-02-12,40.92,-4995.62,42.017,4995.62,0.0,118.896,1719.328
2021-02-16,40.37,-4995.62,42.017,4995.62,0.0,118.896,1696.218
2021-02-17,40.63,-4995.62,42.017,4995.62,0.0,118.896,1707.143
2021-02-18,39.41,-4995.62,42.017,4995.62,0.0,118.896,1655.882
2021-02-19,39.74,-4995.62,42.017,4995.62,0.0,118.896,1669.748
2021-02-22,38.92,-4995.62,42.017,4995.62,0.0,118.896,1635.294
2021-02-23,39.18,-4995.62,42.017,4995.62,0.0,118.896,1646.219
2021-02-24,39.29,-4995.62,42.017,4995.62,0.0,118.896,1650.84
2021-02-25,39.49,-4995.62,42.017,4995.62,0.0,118.896,1659.244
2021-02-26,38.32,-4995.62,42.017,4995.62,0.0,118.896,1610.084
2021-03-01,39.21,-4995.62,42.017,4995.62,0.0,118.896,1647.479
2021-03-02,39.76,-4995.62,42.017,4995.62,0.0,118.896,1670.588
2021-03-03,40.2,-4995.62,42.017,4995.62,0.0,118.896,1689.076
2021-03-04,39.92,-4995.62,42.017,4995.62,0.0,118.896,1677.311
2021-03-05,41.63,-4995.62,42.017,4995.62,0.0,118.896,1749.16
2021-03-08,43.62,-4995.62,42.017,4995.62,0.0,118.896,1832.773
2021-03-09,44.71,-4995.62,42.017,4995.62,0.0,118.896,1878.571
2021-03-10,44.99,-4995.62,42.017,4995.62,0.0,118.896,1890.336
2021-03-11,45.16,-4995.62,42.017,4995.62,0.0,118.896,1897.479
2021-03-12,44.4,-4995.62,42.017,4995.62,0.0,118.896,1865.546
2021-03-15,45.03,-4995.62,42.017,4995.62,0.0,118.896,1892.017
2021-03-16,44.82,-4995.62,42.017,4995.62,0.0,118.896,1883.193
2021-03-17,45.54,-4995.62,42.017,4995.62,0.0,118.896,1913.445
2021-03-18,44.68,-4995.62,42.017,4995.62,0.0,118.896,1877.311
2021-03-19,43.85,-4995.62,42.017,4995.62,0.0,118.896,1842.437
2021-03-22,45.43,-4995.62,42.017,4995.62,0.0,118.896,1908.824
2021-03-23,44.74,-4995.62,42.017,4995.62,0.0,118.896,1879.832
2021-03-24,44.64,-4995.62,42.017,4995.62,0.0,118.896,1875.63
2021-03-25,46.75,-4995.62,42.017,4995.62,0.0,118.896,1964.286
2021-03-26,47.39,-4995.62,42.017,4995.62,0.0,118.896,1991.176
2021-03-29,47.88,-4995.62,42.017,4995.62,0.0,118.896,2011.765
2021-03-30,48.18,-4995.62,42.017,4995.62,0.0,118.896,2024.37
2021-03-31,49.43,-4995.62,42.017,4995.62,0.0,118.896,2076.891
2021-04-01,48.33,-4995.62,42.017,4995.62,0.0,118.896,2030.672
2021-04-05,48.45,-4995.62,42.017,4995.62,0.0,118.896,2035.714
