date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue
2019-11-27,45.2,-4997.58,978.0,4997.58,21046.56,5.11,44205.601
2019-11-29,44.26,-4997.58,978.0,4997.58,21046.56,5.11,43286.278
2019-12-02,44.69,-4997.58,978.0,4997.58,21046.56,5.11,43706.819
2019-12-03,44.85,-4997.58,978.0,4997.58,21046.56,5.11,43863.299
2019-12-04,44.24,-4997.58,978.0,4997.58,21046.56,5.11,43266.722
2019-12-05,45.37,-4997.58,978.0,4997.58,21046.56,5.11,44371.859
2019-12-06,46.11,-4997.58,978.0,4997.58,21046.56,5.11,45095.581
2019-12-09,45.47,-4997.58,978.0,4997.58,21046.56,5.11,44469.661
2019-12-10,45.27,-4997.58,978.0,4997.58,21046.56,5.11,44274.06
2019-12-11,45.34,-4997.58,978.0,4997.58,21046.56,5.11,44342.52
2019-12-12,45.4,-4997.58,978.0,4997.58,21046.56,5.11,44401.201
2019-12-13,45.52,-4997.58,978.0,4997.58,21046.56,5.11,44518.56
2019-12-16,46.0,-4997.58,978.0,4997.58,21046.56,5.11,44988.0
2019-12-17,46.64,-4997.58,978.0,4997.58,21046.56,5.11,45613.919
2019-12-18,47.72,-4997.58,978.0,4997.58,21046.56,5.11,46670.161
2019-12-19,47.2,-4997.58,978.0,4997.58,21046.56,5.11,46161.601
2019-12-20,47.31,-4997.58,978.0,4997.58,21046.56,5.11,46269.181
2019-12-23,47.54,-4997.58,978.0,4997.58,21046.56,5.11,46494.121
2019-12-24,47.58,-4997.58,978.0,4997.58,21046.56,5.11,46533.242
2019-12-26,48.49,-4997.58,978.0,4997.58,21046.56,5.11,47423.222
2019-12-27,48.38,-4997.58,978.0,4997.58,21046.56,5.11,47315.641
2019-12-30,48.32,-4997.58,978.0,4997.58,21046.56,5.11,47256.96
2019-12-31,48.2,-4997.58,978.0,4997.58,21046.56,5.11,47139.601
2020-01-02,49.43,-4997.58,978.0,4997.58,21046.56,5.11,48342.54
2020-01-03,49.06,-4997.58,978.0,4997.58,21046.56,5.11,47980.681
2020-01-06,50.12,-4997.58,978.0,4997.58,21046.56,5.11,49017.359
2020-01-07,51.31,-4997.58,978.0,4997.58,21046.56,5.11,50181.181
2020-01-08,51.67,-4997.58,978.0,4997.58,21046.56,5.11,50533.258
2020-01-09,53.61,-4997.58,978.0,4997.58,21046.56,5.11,52430.581
